Year,Make,Model,Price,Miles,Rating,Source
2021,Jeep,Cherokee Latitude Lux FWD,20944,36000,Excellent Price,Source.CAR_AND_DRIVER
2020,Kia,Sportage SX Turbo AWD,21998,38000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Kona Electric Ultimate,21694,30000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volkswagen,Tiguan 2.0T SEL 4MOTION,18922,83000,Excellent Price,Source.CAR_AND_DRIVER
2021,Tesla,Model 3 Standard Range Plus RWD,19972,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,BMW,X3 xDrive30i AWD,29000,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Corolla LE CVT,15500,57000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Compass 80th Special Edition FWD,18180,64000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Blazer 3LT  AWD,21802,63000,Excellent Price,Source.CAR_AND_DRIVER
2023,Toyota,RAV4 XLE FWD,26900,24000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volkswagen,ID.4 Pro S RWD,20881,67000,Excellent Price,Source.CAR_AND_DRIVER
2021,Volvo,XC60 T5 Inscription AWD,29995,54000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chrysler,Pacifica Touring L FWD,25116,64000,Excellent Price,Source.CAR_AND_DRIVER
2020,Rover,Discovery SE V6 Supercharged,25550,49000,Excellent Price,Source.CAR_AND_DRIVER
2020,Nissan,Murano SL AWD,19900,77000,Excellent Price,Source.CAR_AND_DRIVER
2021,Romeo,Stelvio Ti AWD,21523,72000,Excellent Price,Source.CAR_AND_DRIVER
2022,Kia,Sportage LX FWD,17013,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Kona SE AWD Automatic,15000,55000,Excellent Price,Source.CAR_AND_DRIVER
2021,BMW,X3 xDrive30i AWD,29998,42000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chevrolet,Malibu LT,16841,58000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jeep,Gladiator Sport S,26837,76000,Excellent Price,Source.CAR_AND_DRIVER
2023,Subaru,Outback Premium,21543,68000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Malibu LT,20998,20000,Excellent Price,Source.CAR_AND_DRIVER
2021,Dodge,Challenger GT AWD,25195,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mitsubishi,Outlander Sport SE 2.0 AWC CVT,19998,34000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Compass Latitude 4WD,18142,57000,Excellent Price,Source.CAR_AND_DRIVER
2022,Volvo,S60 B5 Momentum AWD,25991,42000,Excellent Price,Source.CAR_AND_DRIVER
2020,GMC,Terrain SLT FWD,18900,75000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Corolla LE CVT,19522,21000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Renegade Latitude 4WD,17032,58000,Excellent Price,Source.CAR_AND_DRIVER
2020,Toyota,Corolla LE CVT,18998,19000,Excellent Price,Source.CAR_AND_DRIVER
2021,Kia,Forte LXS IVT,15000,61000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Grand Cherokee WK Laredo X 4WD,27441,40000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.5 SL FWD,23710,29000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jeep,Cherokee Limited 4WD,19500,60000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Altima 2.5 SR FWD,20939,31000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Santa Fe SEL FWD,20900,55000,Excellent Price,Source.CAR_AND_DRIVER
2023,Hyundai,Elantra SEL IVT,18800,29000,Excellent Price,Source.CAR_AND_DRIVER
2020,Chevrolet,Blazer 1LT FWD,19791,51000,Excellent Price,Source.CAR_AND_DRIVER
2022,Dodge,Challenger GT AWD,26700,43000,Excellent Price,Source.CAR_AND_DRIVER
2023,Audi,A4 S line Premium Plus 45 TFSI quattro,29986,28000,Excellent Price,Source.CAR_AND_DRIVER
2021,Toyota,Highlander XLE AWD,28500,71000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,Escape SEL AWD,21998,27000,Excellent Price,Source.CAR_AND_DRIVER
