Year,Make,Model,Price,Miles,Rating,Source
2023,Dodge,Challenger,89990.0,1773,SRT Hellcat Redeye Jailbreak Widebody Coupe 2D,Source.CARVANA
2019,Audi,A3,25990.0,13113,Premium Plus Sedan 4D,Source.CARVANA
2018,Jaguar,XE,23990.0,45493,XE 25t Prestige Sedan 4D,Source.CARVANA
2018,FIAT,124 Spider,26990.0,10053,Abarth Convertible 2D,Source.CARVANA
2016,Chevrolet,Corvette,36990.0,74034,Stingray Coupe 2D,Source.CARVANA
2018,Audi,TT,50990.0,50202,RS Coupe 2D,Source.CARVANA
2020,Mercedes-Benz,Mercedes-AMG SLC,49990.0,12769,SLC 43 AMG Roadster 2D,Source.CARVANA
2014,Mercedes-Benz,E-Class,23990.0,42343,E 250 BlueTEC 4MATIC Sedan 4D,Source.CARVANA
2023,Acura,TLX,37990.0,5652,2.0 w/A-Spec Pkg Sedan 4D,Source.CARVANA
2012,Mercedes-Benz,SLK-Class,23990.0,24027,SLK 350 Roadster 2D,Source.CARVANA
2022,Polestar,2,28990.0,22334,Long Range Single Motor Hatchback 4D,Source.CARVANA
2013,Jeep,Wrangler,22990.0,46439,Sport S SUV 2D,Source.CARVANA
2021,Volkswagen,Jetta GLI,27990.0,24327,Autobahn Sedan 4D,Source.CARVANA
2022,Volkswagen,Jetta GLI,27590.0,35139,Autobahn Sedan 4D,Source.CARVANA
2017,Chevrolet,Corvette,58990.0,23143,Grand Sport Coupe 2D,Source.CARVANA
2016,Scion,tC,18590.0,40094,Hatchback Coupe 2D,Source.CARVANA
2018,Jaguar,F-TYPE,31590.0,63619,3.0 340 HP Coupe 2D,Source.CARVANA
2023,GMC,Sierra 2500 HD Crew Cab,61590.0,72297,Denali Pickup 4D 6 1/2 ft,Source.CARVANA
2017,Ford,Mustang,54990.0,20561,Shelby GT350 Coupe 2D,Source.CARVANA
2017,Mercedes-Benz,GLC Coupe,27990.0,65378,GLC 300 4MATIC Sport Utility 4D,Source.CARVANA
2017,Jaguar,XE,20590.0,33805,XE 25t Premium Sedan 4D,Source.CARVANA
2018,Jaguar,XE,28590.0,27075,XE 35t Prestige Sedan 4D,Source.CARVANA
2016,Cadillac,ELR,27590.0,55768,Coupe 2D,Source.CARVANA
2013,Dodge,Challenger,18590.0,64038,SXT Coupe 2D,Source.CARVANA
2018,Chevrolet,Camaro,60590.0,24467,ZL1 Coupe 2D,Source.CARVANA
2015,Dodge,Challenger,52990.0,18282,SRT Hellcat Coupe 2D,Source.CARVANA
2019,Alfa Romeo,Giulia,25590.0,32101,Ti Lusso Sedan 4D,Source.CARVANA
2010,Mercedes-Benz,E-Class,17590.0,62054,E 550 Coupe 2D,Source.CARVANA
2017,Jeep,Wrangler,25990.0,63775,75th Anniversary Edition Sport Utility 2D,Source.CARVANA
2021,Toyota,Corolla Hatchback,21990.0,80946,SE Nightshade Edition Hatchback 4D,Source.CARVANA
2015,Chevrolet,Corvette,60990.0,27393,Z06 Convertible 2D,Source.CARVANA
2023,Dodge,Durango,43590.0,38298,R/T Plus Sport Utility 4D,Source.CARVANA
2014,Jaguar,XK,31590.0,31633,XK Touring Coupe 2D,Source.CARVANA
2019,Lexus,RC,37590.0,25164,RC 350 F SPORT Coupe 2D,Source.CARVANA
2018,Dodge,Charger,37590.0,36565,R/T Scat Pack Sedan 4D,Source.CARVANA
2018,INFINITI,Q60,31990.0,13211,3.0t Luxe Coupe 2D,Source.CARVANA
2020,Lincoln,MKZ,29990.0,15442,Reserve Sedan 4D,Source.CARVANA
2014,Mercedes-Benz,SLK-Class,22990.0,44451,SLK 250 Roadster 2D,Source.CARVANA
2015,INFINITI,Q50,17990.0,85139,3.7 Premium Sedan 4D,Source.CARVANA
2020,Jeep,Wrangler,28990.0,36258,Sport SUV 2D,Source.CARVANA
2011,BMW,3 Series,15590.0,51412,328i xDrive Sedan 4D,Source.CARVANA
2019,Audi,TT,34590.0,48426,Coupe 2D,Source.CARVANA
2023,Chevrolet,Colorado Crew Cab,53590.0,10108,ZR2 Pickup 4D 5 ft,Source.CARVANA
2016,Jaguar,F-TYPE,29990.0,72937,S Coupe 2D,Source.CARVANA
2023,Genesis,G90,73990.0,4523,3.5T E-Supercharger Sedan 4D,Source.CARVANA
2021,Alfa Romeo,Stelvio,27990.0,18334,Sprint Sport Utility 4D,Source.CARVANA
2015,BMW,4 Series,24590.0,20802,428i Coupe 2D,Source.CARVANA
2016,Mercedes-Benz,S-Class,60990.0,36283,S 63 AMG 4MATIC Coupe 2D,Source.CARVANA
2018,Chevrolet,Corvette,76990.0,28719,Z06 Convertible 2D,Source.CARVANA
2023,Toyota,bZ4X,33990.0,5756,Limited Sport Utility 4D,Source.CARVANA
2021,Toyota,GR Supra,38590.0,58024,2.0 Coupe 2D,Source.CARVANA
2023,Genesis,GV70,39990.0,34822,2.5T Standard Sport Utility 4D,Source.CARVANA
2017,Jaguar,XF,22590.0,46036,XF 35t Prestige Sedan 4D,Source.CARVANA
2009,Mercedes-Benz,SLK-Class,16990.0,64546,SLK 300 Roadster 2D,Source.CARVANA
2023,Chevrolet,Colorado Crew Cab,40590.0,10012,Trail Boss Pickup 4D 5 ft,Source.CARVANA
2020,Chevrolet,Camaro,22590.0,58749,LS Coupe 2D,Source.CARVANA
2022,Mitsubishi,Outlander,24990.0,58403,ES Sport Utility 4D,Source.CARVANA
2021,Jeep,Grand Cherokee L,37590.0,12838,Altitude Sport Utility 4D,Source.CARVANA
2017,INFINITI,Q60,27990.0,28015,3.0t Premium Coupe 2D,Source.CARVANA
2018,BMW,4 Series,28990.0,59817,440i Coupe 2D,Source.CARVANA
2020,Alfa Romeo,Stelvio,27990.0,43186,Ti Sport SUV 4D,Source.CARVANA
2018,Lexus,GS,27990.0,72354,GS 350 F SPORT Sedan 4D,Source.CARVANA
2021,Honda,Civic Type R,41590.0,16920,Touring Hatchback Sedan 4D,Source.CARVANA
2018,Jaguar,F-PACE,26590.0,75807,S Sport Utility 4D,Source.CARVANA
2017,Lexus,NX,27590.0,51227,200t F SPORT SUV 4D,Source.CARVANA
2023,Genesis,G70,34590.0,12723,2.0T Sedan 4D,Source.CARVANA
2023,Chevrolet,Colorado Crew Cab,41590.0,8680,Trail Boss Pickup 4D 5 ft,Source.CARVANA
2022,Jeep,Grand Cherokee,29990.0,57340,All New Laredo Sport Utility 4D,Source.CARVANA
2019,Chevrolet,Impala,22990.0,23777,LT Sedan 4D,Source.CARVANA
2013,Volkswagen,Beetle,19990.0,31674,2.5L Convertible 2D,Source.CARVANA
2017,Chevrolet,Impala,20990.0,56032,Premier Sedan 4D,Source.CARVANA
2015,Mercedes-Benz,CLS-Class,24590.0,65571,CLS 400 4MATIC Coupe 4D,Source.CARVANA
2021,Lexus,LX,69990.0,31712,LX 570 Sport Utility 4D,Source.CARVANA
2019,Mercedes-Benz,E-Class,38990.0,15630,E 450 4MATIC Sedan 4D,Source.CARVANA
2017,Nissan,TITAN XD Crew Cab,31590.0,65829,SL Pickup 4D 6 1/2 ft,Source.CARVANA
2014,Dodge,Dart,13990.0,36536,SE Sedan 4D,Source.CARVANA
2021,Porsche,Panamera,71590.0,25404,Sedan 4D,Source.CARVANA
2018,Jeep,Wrangler Unlimited,27990.0,43175,Sport (JK) SUV 4D,Source.CARVANA
2019,Audi,Q7,29990.0,58855,55 TFSI Premium Plus Sport Utility 4D,Source.CARVANA
2017,BMW,M4,51590.0,13134,Coupe 2D,Source.CARVANA
2012,Mercedes-Benz,SLK-Class,19990.0,57633,SLK 350 Roadster 2D,Source.CARVANA
2019,Chevrolet,Camaro,24990.0,38390,LT Coupe 2D,Source.CARVANA
2014,Porsche,911,74990.0,43085,Carrera 4S Cabriolet 2D,Source.CARVANA
2020,Land Rover,Discovery Sport,25990.0,28521,Standard Sport Utility 4D,Source.CARVANA
2013,BMW,6 Series,21590.0,63527,640i Gran Coupe 4D,Source.CARVANA
2018,FIAT,124 Spider,21590.0,18581,Classica Convertible 2D,Source.CARVANA
2018,Buick,Regal TourX,20990.0,75473,Essence Wagon 4D,Source.CARVANA
2018,Mercedes-Benz,GLA,27590.0,23091,GLA 250 Sport Utility 4D,Source.CARVANA
2018,Acura,TLX,26590.0,49433,3.5 w/Technology Pkg & A-SPEC Pkg Sedan 4D,Source.CARVANA
2016,BMW,X5,27990.0,34421,xDrive40e Sport Utility 4D,Source.CARVANA
2017,Mercedes-Benz,Mercedes-AMG GLS,52990.0,29610,GLS 63 4MATIC Sport Utility 4D,Source.CARVANA
2018,Land Rover,Range Rover Velar,36990.0,38247,R-Dynamic HSE Sport Utility 4D,Source.CARVANA
