Year,Make,Model,Price,Miles,Age,Norm_Price,Norm_Miles,Norm_Age,Composite_Score,Rank
2024,Mitsubishi,Mirage LE Hatchback,15600,13000,0,0.6746310611384398,0.8700435021751087,1.0,0.7657916873355964,1.0
2024,Kia,Forte LXS IVT,17700,8000,0,0.5762473647224173,0.920046002300115,1.0,0.7217622195234848,2.0
2022,Mitsubishi,Mirage ES CVT,16995,4000,2,0.6092761770906536,0.96004800240012,0.5,0.7035801069744282,3.0
2023,Kia,Rio S Sedan IVT,17512,9000,1,0.5850550480206138,0.9100455022751137,0.75,0.6990466794949024,4.0
2024,Mitsubishi,Mirage G4 LE Sedan,18998,4000,0,0.5154368704614665,0.96004800240012,1.0,0.6972765229969159,5.0
2023,Kia,Rio S Sedan IVT,15650,28000,1,0.6722885921761537,0.72003600180009,0.75,0.6943839558457192,6.0
2020,Nissan,LEAF SV,14950,10000,4,0.7050831576481611,0.9000450022501125,0.0,0.6930633952639305,7.0
2023,Nissan,LEAF S,18500,2000,1,0.5387678613258375,0.9800490024501225,0.75,0.6922754175305392,8.0
2024,Nissan,Sentra S,19412,2000,0,0.49604122745373624,0.9800490024501225,1.0,0.6916394372072784,9.0
2022,Nissan,Versa SV CVT,15623,21000,2,0.6735535254157883,0.7900395019750988,0.5,0.6911439658420027,10.0
2023,Nissan,Versa S CVT,16998,17000,1,0.6091356289529164,0.8300415020751037,0.75,0.689493827994281,11.0
2023,Kia,Rio LX Sedan IVT,16919,18000,1,0.6128367299133286,0.8200410020501026,0.75,0.6887143385630279,12.0
2022,Mitsubishi,Mirage ES CVT,14995,29000,2,0.7029749355821036,0.7100355017750888,0.5,0.6847956118817888,13.0
2023,Hyundai,Elantra SEL IVT,18960,745,1,0.517217146872804,0.9925996299814991,0.75,0.683110177118132,14.0
2024,Kia,Forte LXS IVT,18950,10000,0,0.5176856406652612,0.9000450022501125,1.0,0.6806248850741905,15.0
2024,Nissan,Sentra SV,19999,784,0,0.4685406418364957,0.992209610480524,1.0,0.6787872682460546,16.0
2022,Chevrolet,Spark LS CVT,14998,31000,2,0.7028343874443663,0.6900345017250862,0.5,0.6787109829841457,17.0
2023,Kia,Rio S Sedan IVT,16996,21000,1,0.6092293277114078,0.7900395019750988,0.75,0.6775494472193742,18.0
2022,Hyundai,Accent SE,16988,13000,2,0.6096041227453737,0.8700435021751087,0.5,0.6767755242997568,19.0
2022,Hyundai,Accent SE,15500,27000,2,0.6793159990630124,0.7300365018250912,0.5,0.6766005499853348,20.0
2022,Mitsubishi,Mirage G4 SE CVT,15998,23000,2,0.6559850081986414,0.7700385019250963,0.5,0.6746025554967137,21.0
2024,Kia,Soul LX IVT,19315,9000,0,0.5005856172405716,0.9100455022751137,1.0,0.673365021026877,22.0
2024,Hyundai,Elantra SE IVT,19988,3000,0,0.46905598500819856,0.9700485024251213,1.0,0.6724481417324555,23.0
2023,Kia,Rio S Sedan IVT,18200,12000,1,0.5528226750995548,0.88004400220011,0.75,0.6707068057197658,24.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,14479,22000,4,0.7271492152728976,0.7800390019500976,0.0,0.6703012297487678,25.0
2022,Mitsubishi,Mirage G4 LE CVT,15998,25000,2,0.6559850081986414,0.7500375018750938,0.5,0.668602255481713,26.0
2023,Nissan,Versa S CVT,17998,15000,1,0.5622862497071914,0.8500425021251062,0.75,0.6673845004618466,27.0
2023,Kia,Rio LX Sedan IVT,18998,7000,1,0.5154368704614665,0.9300465023251162,0.75,0.6632760729744147,28.0
2022,Kia,Soul LX IVT,17205,16000,2,0.5994378074490514,0.840042002100105,0.5,0.6616752850994624,29.0
2023,Hyundai,Elantra SE IVT,17800,19000,1,0.571562426797845,0.8100405020251013,0.75,0.6609496066862373,30.0
2023,Volkswagen,Taos S FWD,19257,6000,1,0.5033028812368237,0.9400470023501175,0.75,0.6589958294471294,31.0
2023,Kia,Soul LX IVT,18100,17000,1,0.5575076130241274,0.8300415020751037,0.75,0.6585170184370075,32.0
2021,Mitsubishi,Mirage ES Hatchback Manual,11520,62000,3,0.865776528460998,0.3800190009500475,0.25,0.658471617361613,33.0
2023,Nissan,Versa S CVT,17998,18000,1,0.5622862497071914,0.8200410020501026,0.75,0.6583840504393457,34.0
2023,Kia,Soul LX IVT,16411,33000,1,0.636636214570157,0.6700335016750838,0.75,0.6579917792446193,35.0
2023,Kia,Forte LXS IVT,16925,29000,1,0.6125556336378544,0.7100355017750888,0.75,0.6555440307152391,36.0
2023,Kia,Rio LX Sedan IVT,18135,18000,1,0.555867884750527,0.8200410020501026,0.75,0.6545330314653468,37.0
2020,Chevrolet,Spark LS CVT,13998,32000,4,0.7496837666900913,0.680034001700085,0.0,0.6538204605240803,38.0
2021,Mitsubishi,Mirage ES Hatchback CVT,14998,31000,3,0.7028343874443663,0.6900345017250862,0.25,0.6537109829841456,39.0
2021,Chevrolet,Spark LS CVT,14599,35000,3,0.7215272897634106,0.6500325016250812,0.25,0.6529261243455707,40.0
2023,Hyundai,Venue Limited IVT,19699,4000,1,0.4825954556102132,0.96004800240012,0.75,0.6525716740861638,41.0
2023,Kia,Forte LXS IVT,17995,20000,1,0.5624267978449287,0.8000400020001001,0.75,0.6524680793069872,42.0
2023,Kia,Forte LXS IVT,17998,20000,1,0.5622862497071914,0.8000400020001001,0.75,0.6523837504243448,43.0
2024,Nissan,Sentra SV,20499,5000,0,0.4451159522136332,0.9500475023751187,1.0,0.6520838220407156,44.0
2023,Nissan,Kicks SV,19100,10000,1,0.5106582337784025,0.9000450022501125,0.75,0.6514084409420753,45.0
2022,Kia,Rio S Sedan IVT,17998,12000,2,0.5622862497071914,0.88004400220011,0.5,0.6513849504843479,46.0
2021,Ford,EcoSport S FWD,16796,15000,3,0.6185992035605528,0.8500425021251062,0.25,0.6511722727738635,47.0
2021,Mitsubishi,Mirage LE Hatchback CVT,12749,53000,3,0.8081986413680018,0.47002350117505876,0.25,0.6509262351733187,48.0
2023,Kia,Rio S Sedan IVT,16771,32000,1,0.619770438041696,0.680034001700085,0.75,0.6508724633350431,49.0
2023,Kia,Forte LXS IVT,18500,16000,1,0.5387678613258375,0.840042002100105,0.75,0.650273317425534,50.0
2022,Nissan,Kicks S,18372,9000,2,0.5447645818692903,0.9100455022751137,0.5,0.6498723998041083,51.0
2022,Chevrolet,Trax LS FWD,17521,17000,2,0.5846334036074021,0.8300415020751037,0.5,0.6497924927869724,52.0
2023,Hyundai,Venue SEL IVT,18640,15000,1,0.5322089482314358,0.8500425021251062,0.75,0.6493381195763934,53.0
2023,Nissan,Sentra S,19399,8000,1,0.49665026938393075,0.920046002300115,0.75,0.6490039623203929,54.0
2022,Kia,Soul LX IVT,16500,27000,2,0.6324666198172875,0.7300365018250912,0.5,0.6484909224378999,55.5
2022,Kia,Soul LX IVT,16500,27000,2,0.6324666198172875,0.7300365018250912,0.5,0.6484909224378999,55.5
2022,Kia,Rio LX Sedan IVT,17998,13000,2,0.5622862497071914,0.8700435021751087,0.5,0.6483848004768475,57.0
2023,Kia,Rio S Sedan IVT,17195,29000,1,0.5999063012415085,0.7100355017750888,0.75,0.6479544312774317,58.0
2021,Kia,Rio LX Sedan IVT,17998,5000,3,0.5622862497071914,0.9500475023751187,0.25,0.6473860005368505,59.0
2024,Nissan,Sentra SV,20822,4000,0,0.4299836027172641,0.96004800240012,1.0,0.6460045623503944,60.0
2023,Kia,Soul LX IVT,17700,25000,1,0.5762473647224173,0.7500375018750938,0.75,0.6457596693959784,61.0
2023,Kia,Forte LXS IVT,18779,15000,1,0.5256968845162802,0.8500425021251062,0.75,0.6454308813473,62.0
2023,Kia,Rio S 5-Door IVT,18998,13000,1,0.5154368704614665,0.8700435021751087,0.75,0.6452751729294124,63.0
2023,Nissan,Kicks S,19323,10000,1,0.5002108222066057,0.9000450022501125,0.75,0.6451399939989972,64.0
2023,Hyundai,Elantra SEL IVT,18800,15000,1,0.52471304755212,0.8500425021251062,0.75,0.6448405791688039,65.0
2023,Nissan,Kicks S,19121,12000,1,0.5096743968142423,0.88004400220011,0.75,0.6448178387485783,66.0
2020,Chevrolet,Sonic 5dr HB LT w/1FL,14998,26000,4,0.7028343874443663,0.7400370018500925,0.0,0.6437117330216475,67.0
2020,Chevrolet,Spark LT CVT,8655,86000,4,1.0,0.14000700035001745,0.0,0.6420021001050052,68.0
2022,Kia,Soul LX IVT,14920,44000,2,0.7064886390255329,0.56002800140007,0.5,0.6419015838353408,69.0
2022,Kia,Forte LXS IVT,16997,25000,2,0.609182478332162,0.7500375018750938,0.5,0.6405207375618254,70.0
2022,Kia,Forte LXS IVT,17999,16000,2,0.5622394003279456,0.840042002100105,0.5,0.639356240826799,71.0
2023,Chevrolet,Bolt EUV LT,18996,15000,1,0.5155305692199579,0.8500425021251062,0.75,0.6393310921695066,72.0
2024,Toyota,Corolla LE CVT,20995,5000,0,0.42187866010775354,0.9500475023751187,1.0,0.6381414467771876,73.0
2023,Nissan,Versa SV CVT,18100,24000,1,0.5575076130241274,0.760038001900095,0.75,0.6375159683845049,74.0
2020,Nissan,LEAF SV,14900,29000,4,0.7074256266104475,0.7100355017750888,0.0,0.6374660264987951,75.0
2022,Chevrolet,Trax LS FWD,17000,26000,2,0.609041930194425,0.7400370018500925,0.5,0.6374362586716827,76.0
2023,Kia,Forte LXS IVT,17998,25000,1,0.5622862497071914,0.7500375018750938,0.75,0.637383000386843,77.5
2023,Kia,Forte LXS IVT,17998,25000,1,0.5622862497071914,0.7500375018750938,0.75,0.637383000386843,77.5
2023,Kia,Soul LX IVT,17900,26000,1,0.5668774888732724,0.7400370018500925,0.75,0.6371375938789912,79.0
2023,Nissan,Kicks SV,20504,2000,1,0.44488170531740456,0.9800490024501225,0.75,0.6359437239254795,80.0
