Year,Make,Model,Price,Miles,Rating,Source
2021,Tesla,Model 3,25500.0,"29,440",N/A,Source.TESLA
2020,Tesla,Model 3,25800.0,"37,322",N/A,Source.TESLA
2021,Tesla,Model 3,26900.0,"20,474",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"29,037",N/A,Source.TESLA
2021,Tesla,Model 3,28100.0,"25,936",N/A,Source.TESLA
2021,Tesla,Model 3,28500.0,"45,995",N/A,Source.TESLA
2018,Tesla,Model 3,28800.0,"49,143",N/A,Source.TESLA
2022,Tesla,Model 3,29200.0,"45,620",N/A,Source.TESLA
2021,Tesla,Model 3,29500.0,"18,906",N/A,Source.TESLA
2022,Tesla,Model 3,30300.0,"41,472",N/A,Source.TESLA
2021,Tesla,Model 3,30700.0,"39,016",N/A,Source.TESLA
2019,Tesla,Model 3,31500.0,"37,942",N/A,Source.TESLA
2023,Tesla,Model 3,31600.0,"7,290",N/A,Source.TESLA
2023,Tesla,Model 3,33900.0,"4,042",N/A,Source.TESLA
2021,Tesla,Model 3,35300.0,"12,204",N/A,Source.TESLA
2022,Tesla,Model 3,36200.0,"12,029",N/A,Source.TESLA
2022,Tesla,Model 3,36300.0,"13,123",N/A,Source.TESLA
2023,Tesla,Model 3,36900.0,"19,695",N/A,Source.TESLA
2022,Tesla,Model 3,39700.0,"24,171",N/A,Source.TESLA
2023,Tesla,Model 3,44600.0,"7,308",N/A,Source.TESLA
2024,Tesla,Model 3,47400.0,872,N/A,Source.TESLA
2024,Tesla,Model 3,53500.0,"1,241",N/A,Source.TESLA
2020,Tesla,Model 3,23700.0,"92,871",N/A,Source.TESLA
2021,Tesla,Model 3,25100.0,"36,435",N/A,Source.TESLA
2021,Tesla,Model 3,25100.0,"31,436",N/A,Source.TESLA
2019,Tesla,Model 3,25200.0,"25,245",N/A,Source.TESLA
2021,Tesla,Model 3,25300.0,"29,513",N/A,Source.TESLA
2018,Tesla,Model 3,25300.0,"34,904",N/A,Source.TESLA
2021,Tesla,Model 3,25300.0,"28,052",N/A,Source.TESLA
2021,Tesla,Model 3,25400.0,"51,239",N/A,Source.TESLA
2021,Tesla,Model 3,25400.0,"36,541",N/A,Source.TESLA
2021,Tesla,Model 3,25400.0,"38,442",N/A,Source.TESLA
2021,Tesla,Model 3,25500.0,"43,361",N/A,Source.TESLA
2020,Tesla,Model 3,25500.0,"23,406",N/A,Source.TESLA
2018,Tesla,Model 3,25600.0,"29,288",N/A,Source.TESLA
2021,Tesla,Model 3,25700.0,"27,416",N/A,Source.TESLA
2018,Tesla,Model 3,25700.0,"72,609",N/A,Source.TESLA
2021,Tesla,Model 3,25800.0,"44,024",N/A,Source.TESLA
2018,Tesla,Model 3,25800.0,"34,524",N/A,Source.TESLA
2021,Tesla,Model 3,25800.0,"45,304",N/A,Source.TESLA
2021,Tesla,Model 3,25900.0,"42,599",N/A,Source.TESLA
2018,Tesla,Model 3,25900.0,"38,173",N/A,Source.TESLA
2021,Tesla,Model 3,25900.0,"28,127",N/A,Source.TESLA
2021,Tesla,Model 3,26000.0,"25,623",N/A,Source.TESLA
2021,Tesla,Model 3,26000.0,"39,410",N/A,Source.TESLA
2021,Tesla,Model 3,26000.0,"33,537",N/A,Source.TESLA
2020,Tesla,Model 3,26100.0,"20,548",N/A,Source.TESLA
2021,Tesla,Model 3,26100.0,"18,882",N/A,Source.TESLA
2019,Tesla,Model 3,26100.0,"67,415",N/A,Source.TESLA
2019,Tesla,Model 3,26200.0,"27,989",N/A,Source.TESLA
2021,Tesla,Model 3,26300.0,"24,171",N/A,Source.TESLA
2021,Tesla,Model 3,26400.0,"25,791",N/A,Source.TESLA
2021,Tesla,Model 3,26400.0,"31,252",N/A,Source.TESLA
2021,Tesla,Model 3,26500.0,"16,166",N/A,Source.TESLA
2021,Tesla,Model 3,26500.0,"26,859",N/A,Source.TESLA
2021,Tesla,Model 3,26500.0,"22,718",N/A,Source.TESLA
2021,Tesla,Model 3,26500.0,"20,354",N/A,Source.TESLA
2021,Tesla,Model 3,26600.0,"29,661",N/A,Source.TESLA
2020,Tesla,Model 3,26600.0,"23,953",N/A,Source.TESLA
2021,Tesla,Model 3,26600.0,"21,843",N/A,Source.TESLA
2021,Tesla,Model 3,26700.0,"34,669",N/A,Source.TESLA
2021,Tesla,Model 3,26700.0,"34,597",N/A,Source.TESLA
2021,Tesla,Model 3,26800.0,"37,398",N/A,Source.TESLA
2018,Tesla,Model 3,26800.0,"30,527",N/A,Source.TESLA
2021,Tesla,Model 3,26900.0,"38,470",N/A,Source.TESLA
2021,Tesla,Model 3,26900.0,"37,036",N/A,Source.TESLA
2022,Tesla,Model 3,27000.0,"27,167",N/A,Source.TESLA
2020,Tesla,Model 3,27000.0,"40,284",N/A,Source.TESLA
2021,Tesla,Model 3,27000.0,"30,089",N/A,Source.TESLA
2021,Tesla,Model 3,27000.0,"19,863",N/A,Source.TESLA
2021,Tesla,Model 3,27000.0,"20,827",N/A,Source.TESLA
2021,Tesla,Model 3,27000.0,"41,618",N/A,Source.TESLA
2021,Tesla,Model 3,27100.0,"29,578",N/A,Source.TESLA
2018,Tesla,Model 3,27100.0,"73,076",N/A,Source.TESLA
2021,Tesla,Model 3,27100.0,"26,742",N/A,Source.TESLA
2021,Tesla,Model 3,27200.0,"31,807",N/A,Source.TESLA
2021,Tesla,Model 3,27200.0,"60,401",N/A,Source.TESLA
2021,Tesla,Model 3,27200.0,"25,360",N/A,Source.TESLA
2021,Tesla,Model 3,27300.0,"29,921",N/A,Source.TESLA
2021,Tesla,Model 3,27400.0,"30,508",N/A,Source.TESLA
2021,Tesla,Model 3,27400.0,"27,860",N/A,Source.TESLA
2021,Tesla,Model 3,27500.0,"21,473",N/A,Source.TESLA
2021,Tesla,Model 3,27500.0,"23,160",N/A,Source.TESLA
2021,Tesla,Model 3,27500.0,"30,970",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"62,898",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"29,843",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"32,489",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"19,918",N/A,Source.TESLA
2022,Tesla,Model 3,27600.0,"48,873",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"23,602",N/A,Source.TESLA
2021,Tesla,Model 3,27600.0,"28,029",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"17,683",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"31,250",N/A,Source.TESLA
2021,Tesla,Model 3,27700.0,"31,598",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"30,533",N/A,Source.TESLA
2021,Tesla,Model 3,27800.0,"23,975",N/A,Source.TESLA
2018,Tesla,Model 3,27800.0,"37,066",N/A,Source.TESLA
